kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,b5i26kc,1,0,0,1,-1,-1,,117,1080,E050,540,,,,,,,,,,
keysig,c18hn2x3,1,0,0,1,-1,-1,,798,540,E262,540,,,,,,,,,,
metersig,ems3lxb,1,0,0,1,-1,-1,,1105,720,E084,540,,,,,,,,,,
note,izodm98,1,0,0,1,0,0,0,1679,1080,E0A2,540,,,,,,,,,,
clef,f197xyvw,1,0,0,2,-1,-1,,117,2520,E062,2340,,,,,,,,,,
keysig,g1rvnzw0,1,0,0,2,-1,-1,,798,2520,E262,2340,,,,,,,,,,
metersig,i12lx4ae,1,0,0,2,-1,-1,,1105,2520,E084,2340,,,,,,,,,,
note,leeh8fz,1,0,0,2,0,1,0,1679,2790,E0A4,2340,1896,2762,2160,,,,,,,
note,n16gprxv,1,0,0,2,1,0,1,2601,2700,E0A4,2340,2610,2728,3300,,,,,,,
note,pk6xyvl,1,0,0,2,2,0,2,3523,2610,E0A4,2340,3532,2638,3240,,,,,,,E241
note,rgx8bjh,1,0,0,2,3,0,2.5,4123,2610,E0A4,2340,4132,2638,3240,,,,,,,E241
note,t3elz0m,1,0,0,2,4,0,3,4724,2700,E0A4,2340,4733,2728,3300,,,,,,,
note,hzub3xf,1,0,1,1,5,0,4,5850,720,E0A2,540,,,,,,,,,,
note,k1dict13,1,0,1,2,5,1,4,5850,2520,E0A3,2340,5859,2545,3150,,,,,,,
note,mwxt00x,1,0,1,2,6,0,6,7253,2430,E0A4,2340,7262,2458,3060,,,,,,,
note,o1nwbnw5,1,0,1,2,7,0,7,8175,2520,E0A4,2340,8184,2548,3150,,,,,,,
note,c1yevvwh,1,0,2,1,8,0,8,9301,1080,E0A2,540,,,,,,,,,,
note,fwigvp2,1,0,2,2,8,1,8,9301,2610,E0A4,2340,9310,2638,3240,,,,,,,
note,h1wvbc8t,1,0,2,2,9,0,9,10223,2700,E0A4,2340,10232,2728,3300,,,,,,,
note,jo3qcsy,1,0,2,2,10,0,10,11145,2610,E0A4,2340,11154,2638,3240,,,,,,,
note,l1wb3e2s,1,0,2,2,11,0,11,12066,2700,E0A4,2340,12075,2728,3300,,,,,,,
clef,p5s9zss,1,1,3,1,-1,-1,,117,5040,E050,4500,,,,,,,,,,
keysig,q1ju9jvm,1,1,3,1,-1,-1,,798,4500,E262,4500,,,,,,,,,,
note,z4bj489,1,1,3,1,12,0,12,1209,5040,E0A2,4500,,,,,,,,,,
clef,se2fak2,1,1,3,2,-1,-1,,117,6480,E062,6300,,,,,,,,,,
keysig,tj3t51w,1,1,3,2,-1,-1,,798,6480,E262,6300,,,,,,,,,,
note,cfjak8c,1,1,3,2,12,1,12,1209,6570,E0A4,6300,1218,6598,7200,,,,,,,E241
note,e11izfdo,1,1,3,2,13,0,12.5,1772,6840,E0A4,6300,1989,6812,6210,,,,,,,E240
note,goma0gm,1,1,3,2,14,0,13,2335,6750,E0A4,6300,2552,6722,6120,,,,,,,E240
note,i4vs11m,1,1,3,2,15,0,13.5,2898,6480,E0A4,6300,2907,6508,7110,,,,,,,E241
note,k19a056m,1,1,3,2,16,0,14,3461,6390,E0A3,6300,3470,6415,7020,,,,,,,
